N,SupplierNo,Suppler Name,AB,BC,MA,NB,NF,NS,NU,NT,FC,ONT,PE,QC,SK,YU,IO,IQ,GSTHST,LastUpdated,Created,Account,SubAccount
12201,B098259,BRANCH EXPENSE,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,04/12/2013,04/28/2004,947465,000
12958,900040380,AUTOMATIVE RENTAL INTERNATIONAL,N,M,M,N,N,N,M,M,M,N,N,M,M,M,N,N,M,03/28/2013,04/30/2007,955350,000
13006,900003581,ST JOSEPH PRINT GROUP INC,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,03/28/2013,08/13/2007,943520,000
13011,900047391,TEKNION FURNITURE SYSTEMS CO LIM,N,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,03/28/2013,08/25/2007,927160,000
13014,900003581,ST JOSEPH PRINT GROUP INC,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,03/28/2013,01/24/2008,943275,000
13015,900003581,ST JOSEPH PRINT GROUP INC,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,03/28/2013,01/24/2008,943515,000
13016,900003581,ST JOSEPH PRINT GROUP INC,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,03/28/2013,01/24/2008,943530,000
13017,900003784,ROYAL TAXI,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,03/28/2013,02/25/2008,955315,000
13022,900029962,SOROC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,03/28/2013,02/25/2008,927374,000
13027,900003678,CO OP CABS,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,03/28/2013,02/26/2008,955315,000
13030,900035650,FCT,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,N,04/01/2013,03/18/2008,636286,000
13034,B092620,BECK TAXI,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,03/28/2013,04/18/2008,955315,000
13036,900022720,ACCOLADE REACTION PROMOTION,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/18/2008,943530,000
13038,900004766,BELL MOBILITY CELLULAR,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/18/2008,946240,000
13040,900003028,BROOKFIELD PROPERTIES LTD,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/18/2008,955315,000
13042,B090243,CBCI TELECOM,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/18/2008,946240,000
13044,B013457,DATA BUSINESS FORMS,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/18/2008,947410,000
13047,B021930,GRAND & TOY,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/18/2008,947410,000
13049,B094504,IRON MOUNTAIN,N,M,M,N,N,N,N,N,N,N,N,M,M,N,N,N,Y,03/28/2013,04/18/2008,961774,000
13052,B034750,MOORE CANADA,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/18/2008,947410,000
13055,B098259,BRANCH EXPENSE,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/22/2008,961780,000
13057,B098259,BRANCH EXPENSE,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/22/2008,946240,000
13059,B098259,BRANCH EXPENSE,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/22/2008,946122,000
13061,B098259,BRANCH EXPENSE,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/06/2014,04/22/2008,947470,000
13065,B098259,BRANCH EXPENSE,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,05/30/2008,955315,000
13067,B037851,CANON,N,Y,Y,N,N,N,M,N,N,N,N,Y,Y,M,N,N,Y,03/28/2013,06/05/2008,927325,000
13069,B095633,UNITED PARCEL SERVICE,N,M,M,N,N,N,N,N,N,N,N,M,M,N,N,N,Y,03/28/2013,06/19/2008,946122,000
13074,B098259,BRANCH EXPENSE,N,M,M,N,N,N,N,N,N,N,N,N,M,N,N,N,Y,03/28/2013,07/15/2008,927150,000
13076,B090691,PROM. PROD. FULFILLMENT & DIST,M,M,M,N,N,N,M,M,M,N,N,M,M,M,N,N,Y,03/28/2013,07/18/2008,943530,000
13079,900027653,VAN HOUTTE COFFEE SERVICES INC,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,09/26/2008,961540,000
13081,B094182,MISTER COFFEE & SERVICES INC,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,10/22/2008,961540,000
13089,B098788,CANADA POST CORP,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,11/06/2008,946110,000
13092,B093278,IMPERIAL COFFEE AND SERVICES INC,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,11/19/2008,961540,000
13094,900003532,SODEXHO MARRIOTT,N,M,M,N,N,N,N,N,N,N,N,M,N,M,N,N,Y,03/28/2013,12/10/2008,961540,000
13096,B096808,PANASONIC,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,12/30/2008,927325,000
13098,900034978,CANADIAN SPRINGS,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,04/29/2009,961540,000
13101,900060248,CDS SECURITIES MANAGEMENT SOLUTI,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,03/28/2013,05/19/2009,961660,000
13104,B012312,CULLITONS LIMOUSINE SERVICE LTD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,03/28/2013,06/24/2009,955315,000
13106,900048149,SOLIDIFI INC,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,10/01/2009,639128,000
13108,900027754,CENTRACT SETTLEMENT SERVICES,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,03/28/2013,10/01/2009,639128,000
13109,900036414,NATIONWIDE APPRAISAL SERVICES IN,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,03/28/2013,10/01/2009,639128,000
13112,B098259,BRANCH EXPENSE,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,03/28/2013,01/11/2010,961310,000
13113,900028568,LOWE MARTIN COMPANY INC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,03/28/2013,05/06/2010,943272,000
13114,B094666,TRADUCTIONS SERGE BELAIR INC,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,03/28/2013,09/02/2010,961487,000
13117,900066110,CLS LEXI-TECH LTD,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,03/28/2013,10/19/2010,961487,000
13122,900000115,DAVIS & HENDERSON LP (D&H),N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,03/28/2013,06/07/2011,636168,000
